Höhne, Steffen; |Marinelli-König, Gertraud: Die böhmischen Länder in den Wiener Zeitschriften des Vormärz (1805–1848). Tschechische nationale Wiedergeburt – Kultur und Landeskunde von Böhmen, Mähren und Schlesien – Kulturelle Beziehungen zu Wien. Teil III: Kunst|55|1|(2015|184 - 185|https:/dx.doi.org/10.18447/BoZ-2015-3999|REZ|3999|6011
Franke, Reiner; |Revision und Krieg. James Louis Garvin und der politische Journalismus|23|1|(1982|126 - 138|https:/dx.doi.org/10.18447/BoZ-1982-3647|ART|3647|5591
Střítecký, Jaroslav; |Mácha, Karel: Glaube und Vernunft. Die böhmische Philosophie in geschichtlicher Übersicht. T. II: 1800–1900, T. III: 1900–1945|32|1|(1991|209 - 214|https:/dx.doi.org/10.18447/BoZ-1991-3524|REZ|3524|5411
Seibt, Ferdinand; |Heyen, Franz-Josef (Hrsg.): Balduin von Luxemburg. Erzbischof von Trier – Kurfürst des Reiches 1285–1354. Festschrift aus Anlaß des 700. Geburtsjahres|26|2|(1985|401 - 402|https:/dx.doi.org/10.18447/BoZ-1985-3236|REZ|3236|4971
Hoensch, Jörg K.; |Edward Taborsky: President Edvard Beneš Between East and West 1938–1948|24|2|(1983|426 - 430|https:/dx.doi.org/10.18447/BoZ-1983-2948|REZ|2948|4499
Bosl, Karl; |Ludwig Hammermayer, Gründungs- und Frühgeschichte der Bayer. Akademie der Wissenschaften|1|1|(1960|376 - 380|https:/dx.doi.org/10.18447/BoZ-1960-2825|REZ|2825|4324
Bachmann, Harald; |Die Habsburgermonarchie 1848–1918, Bd.6/2: Die Habsburgmonarchie im System der internationalen Beziehungen|36|1|(1995|205 - 208|https:/dx.doi.org/10.18447/BoZ-1995-2537|REZ|2537|3917
Schwarz, Ernst; |Sudetendeutsche und germanische volkskundliche Wortgeographie|9|1|(1968)|138 - 162|https:/dx.doi.org/10.18447/BoZ-1968-2249|ART|2249|3451
Schwarz, Ernst; |Sudetendeutsche und germanische volkskundliche Wortgeographie|9|1|(1968)|138 - 162|https:/dx.doi.org/10.18447/BoZ-1968-2249|ABS|2249|3452
Schwarz, Ernst; |Sudetendeutsche und germanische volkskundliche Wortgeographie|9|1|(1968)|138 - 162|https:/dx.doi.org/10.18447/BoZ-1968-2249|ABS|2249|3453
Habel, Fritz Peter; |'Jaroslav Koutek: Quinta colonna all'' Est – I nazisti nei Sudeti (1933–1938) [Die 5. Kolonne im Osten – Die Nazisten in den Sudeten (1933–1938)]'|8|1|(1967|436 - 439|https:/dx.doi.org/10.18447/BoZ-1967-2126|REZ|2126|3235
